River,Reach,Station,MAX_WL
Seomjin,main_down,45.400,27.244492
Seomjin,main_down,45.200,27.163620
Seomjin,main_down,45.000,27.086357
Seomjin,main_down,44.800,26.988747
Seomjin,main_down,44.600,26.837029
Seomjin,main_down,44.400,26.691294
Seomjin,main_down,44.200,26.547211
Seomjin,main_down,44.000,26.329067
Seomjin,main_down,43.800,26.112926
Seomjin,main_down,43.600,26.002911
Seomjin,main_down,43.400,25.943071
Seomjin,main_down,43.200,25.909605
Seomjin,main_down,43.000,25.894321
Seomjin,main_down,42.800,25.852604
Seomjin,main_down,42.600,25.835945
Seomjin,main_down,42.526,25.850410
Seomjin,main_down,42.400,25.845879
Seomjin,main_down,42.200,25.814911
Seomjin,main_down,42.000,25.752430
Seomjin,main_down,41.800,25.629248
Seomjin,main_down,41.614,25.422585
Seomjin,main_down,41.400,25.257231
Seomjin,main_down,41.200,25.139456
Seomjin,main_down,41.000,25.007399
Seomjin,main_down,40.800,24.920345
Seomjin,main_down,40.600,24.809359
Seomjin,main_down,40.400,24.551231
Seomjin,main_down,40.200,24.261696
Seomjin,main_down,40.000,23.897924
Seomjin,main_down,39.800,23.501682
Seomjin,main_down,39.600,23.220230
Seomjin,main_down,39.400,23.131088
Seomjin,main_down,39.200,23.166317
Seomjin,main_down,39.000,22.986847
Seomjin,main_down,38.800,22.761873
Seomjin,main_down,38.600,22.285089
Seomjin,main_down,38.400,21.972454
Seomjin,main_down,38.200,22.087234
Seomjin,main_down,38.000,21.971458
Seomjin,main_down,37.800,21.669479
Seomjin,main_down,37.600,21.565847
Seomjin,main_down,37.400,21.537231
Seomjin,main_down,37.200,21.265739
Seomjin,main_down,37.000,20.936840
Seomjin,main_down,36.948,20.773157
Seomjin,main_down,36.800,20.812653
Seomjin,main_down,36.600,20.714043
Seomjin,main_down,36.400,20.445923
Seomjin,main_down,36.200,20.306778
Seomjin,main_down,36.000,20.304935
Seomjin,main_down,35.800,20.141506
Seomjin,main_down,35.600,19.815769
Seomjin,main_down,35.400,19.504414
Seomjin,main_down,35.200,19.321815
Seomjin,main_down,35.000,19.271532
Seomjin,main_down,34.858,19.192818
Seomjin,main_down,34.800,19.110155
Seomjin,main_down,34.600,18.941174
Seomjin,main_down,34.400,18.677088
Seomjin,main_down,34.200,18.373985
Seomjin,main_down,34.000,18.125103
Seomjin,main_down,33.800,18.097479
Seomjin,main_down,33.500,18.199188
Seomjin,main_down,33.390,18.249199
Seomjin,main_down,33.000,18.213829
Seomjin,main_down,32.942,18.124599
Seomjin,main_down,32.500,17.805807
Seomjin,main_down,32.000,17.275688
Seomjin,main_down,31.500,16.889980
Seomjin,main_down,31.000,16.642757
Seomjin,main_down,30.500,16.269552
Seomjin,main_down,30.000,15.899333
Seomjin,main_down,29.500,15.778924
Seomjin,main_down,29.000,15.664009
Seomjin,main_down,28.500,15.124802
Seomjin,main_down,28.000,14.528002
Seomjin,main_down,27.500,14.151810
Seomjin,main_down,27.000,13.809832
Seomjin,main_down,26.500,13.509182
Seomjin,main_down,26.000,13.168445
Seomjin,main_down,25.500,12.934801
Seomjin,main_down,25.000,12.794003
Seomjin,main_down,24.500,12.649652
Seomjin,main_down,24.000,12.434164
Seomjin,main_down,23.500,12.086044
Seomjin,main_down,23.000,11.827116
Seomjin,main_down,22.500,11.696693
Seomjin,main_down,22.000,11.593415
Seomjin,main_down,21.679,11.500129
Seomjin,main_down,21.500,11.381642
Seomjin,main_down,21.000,11.163557
Seomjin,main_down,20.500,10.896136
Seomjin,main_down,20.000,10.717281
Seomjin,main_down,19.926,10.591545
Seomjin,main_down,19.500,10.382984
Seomjin,main_down,19.000,10.156905
Seomjin,main_down,18.500,10.004438
Seomjin,main_down,18.000,9.840800
Seomjin,main_down,17.500,9.588901
Seomjin,main_down,17.000,9.420286
Seomjin,main_down,16.516,9.351091
Seomjin,main_down,16.000,9.176712
Seomjin,main_down,15.500,8.900471
Seomjin,main_down,15.000,8.609615
Seomjin,main_down,14.797,8.394764
Seomjin,main_down,14.500,8.274361
Seomjin,main_down,14.353,8.136593
Seomjin,main_down,14.000,7.880743
Seomjin,main_down,13.736,7.637180
Seomjin,main_down,13.500,7.555644
Seomjin,main_down,13.000,7.527793
Seomjin,main_down,12.836,7.486795
Seomjin,main_down,12.500,7.430820
Seomjin,main_down,12.000,7.245613
Seomjin,main_down,11.500,6.911539
Seomjin,main_down,11.000,6.590655
Seomjin,main_down,10.500,6.434328
Seomjin,main_down,10.144,6.397648
Seomjin,main_down,10.000,6.333255
